[2026-04-16 00:32:10]   ! SOXL 시가: $84.66 (info.open, 장중 폴백)
[2026-04-16 00:32:10]   ! SOXS 시가: $21.23 (info.open, 장중 폴백)
[2026-04-16 01:32:13]   ! SOXL 시가: $84.66 (info.open, 장중 폴백)
[2026-04-16 01:32:13]   ! SOXS 시가: $21.23 (info.open, 장중 폴백)
[2026-04-16 02:32:15]   ! SOXL 시가: $84.66 (info.open, 장중 폴백)
[2026-04-16 02:32:15]   ! SOXS 시가: $21.23 (info.open, 장중 폴백)
[2026-04-16 03:32:18]   ! SOXL 시가: $84.66 (info.open, 장중 폴백)
[2026-04-16 03:32:18]   ! SOXS 시가: $21.23 (info.open, 장중 폴백)
[2026-04-16 04:32:21]   ! SOXL 시가: $84.66 (info.open, 장중 폴백)
[2026-04-16 04:32:21]   ! SOXS 시가: $21.23 (info.open, 장중 폴백)
